dataset,variant,image_id,runtime_s
BSDS500_val,G_fmin003_ks5,101085,0.842621
BSDS500_val,G_fmin003_ks5,101087,0.833593
BSDS500_val,G_fmin003_ks5,102061,0.816432
BSDS500_val,G_fmin003_ks5,103070,0.829782
BSDS500_val,G_fmin003_ks5,105025,0.820685
BSDS500_val,G_fmin003_ks5,106024,0.801052
BSDS500_val,G_fmin003_ks5,108005,0.855302
BSDS500_val,G_fmin003_ks5,108070,0.877906
BSDS500_val,G_fmin003_ks5,108082,0.835074
BSDS500_val,G_fmin003_ks5,109053,0.837770
BSDS500_val,G_fmin003_ks5,119082,0.832279
BSDS500_val,G_fmin003_ks5,12084,0.869712
BSDS500_val,G_fmin003_ks5,123074,0.831521
BSDS500_val,G_fmin003_ks5,126007,0.829222
BSDS500_val,G_fmin003_ks5,130026,0.832468
BSDS500_val,G_fmin003_ks5,134035,0.852866
BSDS500_val,G_fmin003_ks5,14037,0.817054
BSDS500_val,G_fmin003_ks5,143090,0.814077
BSDS500_val,G_fmin003_ks5,145086,0.837390
BSDS500_val,G_fmin003_ks5,147091,0.845645
BSDS500_val,G_fmin003_ks5,148026,0.936874
BSDS500_val,G_fmin003_ks5,148089,0.911439
BSDS500_val,G_fmin003_ks5,156065,0.848764
BSDS500_val,G_fmin003_ks5,157055,0.867334
BSDS500_val,G_fmin003_ks5,159008,0.897693
BSDS500_val,G_fmin003_ks5,160068,0.864039
BSDS500_val,G_fmin003_ks5,16077,0.918138
BSDS500_val,G_fmin003_ks5,163085,0.895444
BSDS500_val,G_fmin003_ks5,167062,0.895904
BSDS500_val,G_fmin003_ks5,167083,0.869206
BSDS500_val,G_fmin003_ks5,170057,0.890735
BSDS500_val,G_fmin003_ks5,175032,0.895992
BSDS500_val,G_fmin003_ks5,175043,0.877472
BSDS500_val,G_fmin003_ks5,182053,0.832349
BSDS500_val,G_fmin003_ks5,189080,0.854675
BSDS500_val,G_fmin003_ks5,19021,0.895635
BSDS500_val,G_fmin003_ks5,196073,0.865832
BSDS500_val,G_fmin003_ks5,197017,0.845343
BSDS500_val,G_fmin003_ks5,208001,0.838232
BSDS500_val,G_fmin003_ks5,210088,0.849538
BSDS500_val,G_fmin003_ks5,21077,0.830683
BSDS500_val,G_fmin003_ks5,216081,0.853759
BSDS500_val,G_fmin003_ks5,219090,0.845364
BSDS500_val,G_fmin003_ks5,220075,0.823510
BSDS500_val,G_fmin003_ks5,223061,0.842565
BSDS500_val,G_fmin003_ks5,227092,0.828752
BSDS500_val,G_fmin003_ks5,229036,0.846875
BSDS500_val,G_fmin003_ks5,236037,0.908934
BSDS500_val,G_fmin003_ks5,24077,0.834912
BSDS500_val,G_fmin003_ks5,241004,0.831709
BSDS500_val,G_fmin003_ks5,241048,0.840211
BSDS500_val,G_fmin003_ks5,253027,0.854269
BSDS500_val,G_fmin003_ks5,253055,0.845387
BSDS500_val,G_fmin003_ks5,260058,0.845318
BSDS500_val,G_fmin003_ks5,271035,0.862333
BSDS500_val,G_fmin003_ks5,285079,0.864097
BSDS500_val,G_fmin003_ks5,291000,0.863318
BSDS500_val,G_fmin003_ks5,295087,0.840586
BSDS500_val,G_fmin003_ks5,296007,0.825288
BSDS500_val,G_fmin003_ks5,296059,0.838248
BSDS500_val,G_fmin003_ks5,299086,0.814644
BSDS500_val,G_fmin003_ks5,300091,0.844353
BSDS500_val,G_fmin003_ks5,302008,0.844682
BSDS500_val,G_fmin003_ks5,304034,0.847327
BSDS500_val,G_fmin003_ks5,304074,0.851485
BSDS500_val,G_fmin003_ks5,306005,0.852926
BSDS500_val,G_fmin003_ks5,3096,0.828852
BSDS500_val,G_fmin003_ks5,33039,0.872492
BSDS500_val,G_fmin003_ks5,351093,0.860886
BSDS500_val,G_fmin003_ks5,361010,0.843173
BSDS500_val,G_fmin003_ks5,37073,0.873329
BSDS500_val,G_fmin003_ks5,376043,0.885802
BSDS500_val,G_fmin003_ks5,38082,0.844342
BSDS500_val,G_fmin003_ks5,38092,0.829103
BSDS500_val,G_fmin003_ks5,385039,0.851435
BSDS500_val,G_fmin003_ks5,41033,0.856781
BSDS500_val,G_fmin003_ks5,41069,0.855108
BSDS500_val,G_fmin003_ks5,42012,0.852919
BSDS500_val,G_fmin003_ks5,42049,0.862323
BSDS500_val,G_fmin003_ks5,43074,0.845551
BSDS500_val,G_fmin003_ks5,45096,0.804862
BSDS500_val,G_fmin003_ks5,54082,0.892551
BSDS500_val,G_fmin003_ks5,55073,0.889036
BSDS500_val,G_fmin003_ks5,58060,0.845765
BSDS500_val,G_fmin003_ks5,62096,0.844979
BSDS500_val,G_fmin003_ks5,65033,0.856835
BSDS500_val,G_fmin003_ks5,66053,0.893859
BSDS500_val,G_fmin003_ks5,69015,0.836401
BSDS500_val,G_fmin003_ks5,69020,0.871386
BSDS500_val,G_fmin003_ks5,69040,0.888095
BSDS500_val,G_fmin003_ks5,76053,0.867827
BSDS500_val,G_fmin003_ks5,78004,0.816987
BSDS500_val,G_fmin003_ks5,8023,0.880928
BSDS500_val,G_fmin003_ks5,85048,0.832684
BSDS500_val,G_fmin003_ks5,86000,0.855361
BSDS500_val,G_fmin003_ks5,86016,0.929816
BSDS500_val,G_fmin003_ks5,86068,0.872183
BSDS500_val,G_fmin003_ks5,87046,0.863811
BSDS500_val,G_fmin003_ks5,89072,0.851133
BSDS500_val,G_fmin003_ks5,97033,0.903500
BSDS500_val,G_fmin003_ks25,101085,0.686073
BSDS500_val,G_fmin003_ks25,101087,0.700650
BSDS500_val,G_fmin003_ks25,102061,0.696335
BSDS500_val,G_fmin003_ks25,103070,0.721886
BSDS500_val,G_fmin003_ks25,105025,0.708059
BSDS500_val,G_fmin003_ks25,106024,0.688839
BSDS500_val,G_fmin003_ks25,108005,0.728238
BSDS500_val,G_fmin003_ks25,108070,0.697523
BSDS500_val,G_fmin003_ks25,108082,0.690550
BSDS500_val,G_fmin003_ks25,109053,0.727982
BSDS500_val,G_fmin003_ks25,119082,0.711920
BSDS500_val,G_fmin003_ks25,12084,0.745806
BSDS500_val,G_fmin003_ks25,123074,0.699065
BSDS500_val,G_fmin003_ks25,126007,0.683487
BSDS500_val,G_fmin003_ks25,130026,0.696723
BSDS500_val,G_fmin003_ks25,134035,0.750201
BSDS500_val,G_fmin003_ks25,14037,0.683235
BSDS500_val,G_fmin003_ks25,143090,0.687954
BSDS500_val,G_fmin003_ks25,145086,0.690469
BSDS500_val,G_fmin003_ks25,147091,0.726299
BSDS500_val,G_fmin003_ks25,148026,0.710665
BSDS500_val,G_fmin003_ks25,148089,0.670252
BSDS500_val,G_fmin003_ks25,156065,0.674137
BSDS500_val,G_fmin003_ks25,157055,0.685018
BSDS500_val,G_fmin003_ks25,159008,0.756580
BSDS500_val,G_fmin003_ks25,160068,0.676173
BSDS500_val,G_fmin003_ks25,16077,0.677148
BSDS500_val,G_fmin003_ks25,163085,0.706215
BSDS500_val,G_fmin003_ks25,167062,0.695765
BSDS500_val,G_fmin003_ks25,167083,0.676005
BSDS500_val,G_fmin003_ks25,170057,0.675519
BSDS500_val,G_fmin003_ks25,175032,0.701741
BSDS500_val,G_fmin003_ks25,175043,0.716299
BSDS500_val,G_fmin003_ks25,182053,0.728149
BSDS500_val,G_fmin003_ks25,189080,0.746581
BSDS500_val,G_fmin003_ks25,19021,0.685204
BSDS500_val,G_fmin003_ks25,196073,0.693079
BSDS500_val,G_fmin003_ks25,197017,0.684069
BSDS500_val,G_fmin003_ks25,208001,0.689211
BSDS500_val,G_fmin003_ks25,210088,0.664170
BSDS500_val,G_fmin003_ks25,21077,0.677355
BSDS500_val,G_fmin003_ks25,216081,0.682608
BSDS500_val,G_fmin003_ks25,219090,0.695419
BSDS500_val,G_fmin003_ks25,220075,0.663609
BSDS500_val,G_fmin003_ks25,223061,0.657786
BSDS500_val,G_fmin003_ks25,227092,0.655074
BSDS500_val,G_fmin003_ks25,229036,0.669741
BSDS500_val,G_fmin003_ks25,236037,0.689048
BSDS500_val,G_fmin003_ks25,24077,0.684284
BSDS500_val,G_fmin003_ks25,241004,0.697794
BSDS500_val,G_fmin003_ks25,241048,0.690894
BSDS500_val,G_fmin003_ks25,253027,0.711534
BSDS500_val,G_fmin003_ks25,253055,0.700934
BSDS500_val,G_fmin003_ks25,260058,0.662311
BSDS500_val,G_fmin003_ks25,271035,0.683853
BSDS500_val,G_fmin003_ks25,285079,0.705917
BSDS500_val,G_fmin003_ks25,291000,0.671477
BSDS500_val,G_fmin003_ks25,295087,0.662199
BSDS500_val,G_fmin003_ks25,296007,0.679753
BSDS500_val,G_fmin003_ks25,296059,0.663359
BSDS500_val,G_fmin003_ks25,299086,0.673914
BSDS500_val,G_fmin003_ks25,300091,0.684332
BSDS500_val,G_fmin003_ks25,302008,0.671328
BSDS500_val,G_fmin003_ks25,304034,0.682893
BSDS500_val,G_fmin003_ks25,304074,0.668438
BSDS500_val,G_fmin003_ks25,306005,0.695023
BSDS500_val,G_fmin003_ks25,3096,0.679382
BSDS500_val,G_fmin003_ks25,33039,0.696442
BSDS500_val,G_fmin003_ks25,351093,0.664669
BSDS500_val,G_fmin003_ks25,361010,0.668456
BSDS500_val,G_fmin003_ks25,37073,0.685572
BSDS500_val,G_fmin003_ks25,376043,0.694095
BSDS500_val,G_fmin003_ks25,38082,0.669644
BSDS500_val,G_fmin003_ks25,38092,0.698787
BSDS500_val,G_fmin003_ks25,385039,0.705025
BSDS500_val,G_fmin003_ks25,41033,0.658204
BSDS500_val,G_fmin003_ks25,41069,0.688030
BSDS500_val,G_fmin003_ks25,42012,0.668798
BSDS500_val,G_fmin003_ks25,42049,0.706347
BSDS500_val,G_fmin003_ks25,43074,0.682338
