dataset,method,n_images,n_thresholds,ods_threshold,ods_precision,ods_recall,ods_f,ois_precision,ois_recall,ois_f,ois_f_mean,ap,ap_mean_per_image,f_at_ods_mean,f_at_ods_std
BSDS500,A0_GWi_static,200,99,0.28,0.33547338378231983,0.5513587711414332,0.41713912064629877,0.3673317028464512,0.6560451017239971,0.4709627251352459,0.472172278105047,0.31958647168789156,0.3987193034193913,0.4238786540461561,0.12479676978937514
BSDS500,A12_static_fmin,200,99,0.29000000000000004,0.4744125731744498,0.6126977694256067,0.5347599300292641,0.49204024328266693,0.6647389492605605,0.5654982669502124,0.5656985181305649,0.48822313114453536,0.5388967167873444,0.535559222676561,0.12875612728089564
BSDS500,A13_cdf,200,99,0.01,0.22839851094597266,0.8596368984394149,0.3609069812694527,0.26264315785743597,0.7679617615818286,0.3914204141104866,0.38519891877362616,0.28203866866683863,0.30958268103937797,0.3577375531534759,0.08703313088986071
BSDS500,A1_AGWi_full,200,99,0.4,0.4668970047579817,0.6238427976141842,0.5340784906032419,0.47861567641317576,0.6913604052618678,0.5656456284746534,0.5643271554138797,0.48538387538330846,0.5251956366760488,0.5343589691199149,0.1260605705616246
BSDS500,A7_rho_shuffle,200,99,0.29000000000000004,0.46288481557187644,0.6195130321104665,0.5298664926706048,0.4788338615530727,0.6679833319715663,0.5578099807136547,0.5620681392155492,0.4918647629803771,0.5429688033691683,0.5327195038161406,0.12875458258871583
BSDS500,A9_rho_edgemap,200,99,0.31,0.4550184973318747,0.5754999591469891,0.5082162769221381,0.4991887620424702,0.6178936187597026,0.5522342056833881,0.5512932339166696,0.3963827243602008,0.46494665408271657,0.5112378828629086,0.12578973645028296
BSDS500,agwi,200,99,0.4,0.4668970047579817,0.6238427976141842,0.5340784906032419,0.47861567641317576,0.6913604052618678,0.5656456284746534,0.5643271554138797,0.48538387538330846,0.5251956366760488,0.5343589691199149,0.1260605705616246
BSDS500,AGWi_fmax0.25,200,99,0.37,0.46406307083047155,0.6267868289892965,0.5332880732077335,0.4837571461365918,0.6796440885693276,0.5652094477242179,0.5642205627452764,0.4772047219144943,0.5205486517536544,0.5346289812660073,0.12788577758178854
BSDS500,AGWi_fmax0.35,200,99,0.38,0.4605768850913975,0.6346109976305254,0.5337662352636269,0.48266654041001844,0.6847075741482147,0.5662031252624097,0.5642126032353414,0.4823539942230342,0.5233058409527771,0.535091374004971,0.1275446246383348
BSDS500,AGWi_fmax0.45,200,99,0.4,0.4668970047579817,0.6238427976141842,0.5340784906032419,0.47861567641317576,0.6913604052618678,0.5656456284746534,0.5643271554138797,0.48538387538330846,0.5251956366760488,0.5343589691199149,0.1260605705616246
BSDS500,AGWi_fmax0.55,200,99,0.4,0.46253677656292896,0.6320722281232127,0.5341754904252535,0.4780833790052525,0.6922859710760683,0.5655828500071065,0.5642661513750444,0.48591000636757603,0.5259531283303869,0.5348686799363668,0.12627117485908496
BSDS500,AGWi_sobel,200,99,0.4,0.4668970047579817,0.6238427976141842,0.5340784906032419,0.47861567641317576,0.6913604052618678,0.5656456284746534,0.5643271554138797,0.48538387538330846,0.5251956366760488,0.5343589691199149,0.1260605705616246
BSDS500,AGWi_variance,200,99,0.34,0.47006997629906755,0.6355676117329847,0.5404325167988374,0.48733908605106946,0.6808343818939456,0.568061532861244,0.5666993919243727,0.48520031071771214,0.5270387516821855,0.5401671481890632,0.12747470211880382
BSDS500,canny,200,99,0.3,0.47763021834524266,0.6026721137347822,0.5329145457262786,0.4884085076113674,0.6613863877767792,0.5618858457350914,0.5656624777651313,0.49245084908381764,0.544037300723036,0.5339780090218583,0.12969008282996705
BSDS500,CannyBinary,200,99,0.01,0.2656952734670983,0.8767902606422093,0.4078109019668896,0.2656952734670983,0.8767902606422093,0.4078109019668896,0.4284633188626576,0.2329590280746202,0.2613544145395852,0.4284633188626576,0.1451599150783135
BSDS500,gwc,200,99,0.36000000000000004,0.3386295132089854,0.47833875316610835,0.3965383376574453,0.38867757274486614,0.578724078764605,0.4650334633443267,0.46471131437138913,0.2767113610347019,0.35927477134577024,0.39884007873621086,0.13302363518834096
BSDS500,gwi,200,99,0.28,0.33547338378231983,0.5513587711414332,0.41713912064629877,0.3673317028464512,0.6560451017239971,0.4709627251352459,0.472172278105047,0.31958647168789156,0.3987193034193913,0.4238786540461561,0.12479676978937514
BSDS500,pc,200,99,0.15000000000000002,0.46239765919635234,0.6047284908897785,0.5240711955455444,0.4707105277613325,0.637821063812403,0.5416698844607725,0.5315226741417212,0.41691030843365595,0.4396858883076865,0.5102772406570729,0.11282514836789197
BSDS500,sobel,200,99,0.36000000000000004,0.39345886600163127,0.5639895416292181,0.4635376354853568,0.4097499409244364,0.6512525533131792,0.5030161506617558,0.5144986006121427,0.40547287829723344,0.48494238074185203,0.4702898620558068,0.12848867209367043
