dataset,method,n_images,n_thresholds,ods_threshold,ods_precision,ods_recall,ods_f,ois_precision,ois_recall,ois_f,ois_f_mean,ap,ap_mean_per_image,f_at_ods_mean,f_at_ods_std
BSDS500,AGWi,200,99,0.4,0.4668970047579817,0.6238427976141842,0.5340784906032419,0.47861567641317576,0.6913604052618678,0.5656456284746534,0.5643271554138797,0.48538387538330846,0.5251956366760488,0.5343589691199149,0.1260605705616246
BSDS500,GWi,200,99,0.28,0.33547338378231983,0.5513587711414332,0.41713912064629877,0.3673317028464512,0.6560451017239971,0.4709627251352459,0.472172278105047,0.31958647168789156,0.3987193034193913,0.4238786540461561,0.12479676978937514
BSDS500,GWC,200,99,0.36000000000000004,0.3386295132089854,0.47833875316610835,0.3965383376574453,0.38867757274486614,0.578724078764605,0.4650334633443267,0.46471131437138913,0.2767113610347019,0.35927477134577024,0.39884007873621086,0.13302363518834096
BSDS500,Canny,200,99,0.9600000000000001,0.2905210282959406,0.8247526758722118,0.42968464976575355,0.2878970245390265,0.8492239562055723,0.43001413974219493,0.4571682685341426,0.279147466853774,0.3209025457469026,0.4534095887957293,0.15117406600615138
BSDS500,Sobel,200,99,0.36000000000000004,0.39345886600163127,0.5639895416292181,0.4635376354853568,0.4097499409244364,0.6512525533131792,0.5030161506617558,0.5144986006121427,0.40547287829723344,0.48494238074185203,0.4702898620558068,0.12848867209367043
BSDS500,PC,200,99,0.15000000000000002,0.46239765919635234,0.6047284908897785,0.5240711955455444,0.4707105277613325,0.637821063812403,0.5416698844607725,0.5315226741417212,0.41691030843365595,0.4396858883076865,0.5102772406570729,0.11282514836789197
UDED,AGWi,30,99,0.19,0.6305750186799001,0.7101270129281017,0.6679908643163225,0.6886682159273554,0.7628691313222953,0.7238721410086032,0.6836716030550607,0.652797116909977,0.6646819260011692,0.627507143762845,0.16335254013270406
UDED,GWi,30,99,0.19,0.5128683138480427,0.6670242685416194,0.5798758582070423,0.5948370010626562,0.7325561351780449,0.6565522792945067,0.6024277506803473,0.5316296912363968,0.5629744261824048,0.5258894301135679,0.15621393295221705
UDED,GWC,30,99,0.26,0.4644730991551801,0.556772510773418,0.5064518291959583,0.5834795357856308,0.5876071671580857,0.5855360773132908,0.5456464881232576,0.3662450404629583,0.44032057494283855,0.4655814227060939,0.15518363899932858
UDED,Canny,30,99,0.92,0.6491730942950455,0.6780494443184396,0.663297138267518,0.6125722627537121,0.8108822862327059,0.6979133928205408,0.6605132163730721,0.5955987889114878,0.5988323774138173,0.6043057241553146,0.19376140241703468
UDED,Sobel,30,99,0.19,0.5901609261122948,0.6929485144023588,0.6374376558928677,0.6895705885972674,0.7370741664776593,0.7125315044404954,0.6588793331979751,0.6467683261926441,0.6682300450242542,0.5829309328783964,0.19538248660794183
UDED,PC,30,99,0.04,0.5566478309096734,0.5793467906554775,0.5677705303191117,0.6601104466949508,0.5826264459061011,0.6189529026669573,0.5882868320165026,0.43175789997472686,0.45128605375009306,0.5477851936552887,0.11707875557812476
