dataset,method,n_images,n_thresholds,ods_threshold,ods_precision,ods_recall,ods_f,ois_precision,ois_recall,ois_f,ois_f_mean,ap,ap_mean_per_image,f_at_ods_mean,f_at_ods_std
BSDS500,AGWi,200,99,0.4,0.466897005,0.623842798,0.534078491,0.478615676,0.691360405,0.565645628,0.564327155,0.485383875,0.525195637,0.534358969,0.126060571
BSDS500,GWi,200,99,0.28,0.335473384,0.551358771,0.417139121,0.367331703,0.656045102,0.470962725,0.472172278,0.319586472,0.398719303,0.423878654,0.12479677
BSDS500,GWC,200,99,0.36,0.338629513,0.478338753,0.396538338,0.388677573,0.578724079,0.465033463,0.464711314,0.276711361,0.359274771,0.398840079,0.133023635
BSDS500,Canny,200,99,0.3,0.477630218,0.602672114,0.532914546,0.488408508,0.661386388,0.561885846,0.565662478,0.492450849,0.544037301,0.533978009,0.129690083
BSDS500,Sobel,200,99,0.36,0.393458866,0.563989542,0.463537635,0.409749941,0.651252553,0.503016151,0.514498601,0.405472878,0.484942381,0.470289862,0.128488672
BSDS500,PC,200,99,0.15,0.462397659,0.604728491,0.524071196,0.470710528,0.637821064,0.541669884,0.531522674,0.416910308,0.439685888,0.510277241,0.112825148
UDED,AGWi,30,99,0.19,0.630575019,0.710127013,0.667990864,0.688668216,0.762869131,0.723872141,0.683671603,0.652797117,0.664681926,0.627507144,0.16335254
UDED,GWi,30,99,0.19,0.512868314,0.667024269,0.579875858,0.594837001,0.732556135,0.656552279,0.602427751,0.531629691,0.562974426,0.52588943,0.156213933
UDED,GWC,30,99,0.26,0.464473099,0.556772511,0.506451829,0.583479536,0.587607167,0.585536077,0.545646488,0.36624504,0.440320575,0.465581423,0.155183639
UDED,Canny,30,99,0.13,0.636127741,0.707815831,0.670059808,0.721734562,0.735316398,0.728462179,0.690315465,0.679841823,0.693416623,0.632362894,0.169556946
UDED,Sobel,30,99,0.19,0.590160926,0.692948514,0.637437656,0.689570589,0.737074166,0.712531504,0.658879333,0.646768326,0.668230045,0.582930933,0.195382487
UDED,PC,30,99,0.04,0.556647831,0.579346791,0.56777053,0.660110447,0.582626446,0.618952903,0.588286832,0.4317579,0.451286054,0.547785194,0.117078756
