dataset,method,stratum,n_images,t33,t66,pct_gt_in_stratum,f_s,precision_at_best,recall_at_best
BSDS500,AGWi,LOW,200,0.05301523593064001,0.14553488795978065,7.110744341857995,0.14458905474854758,0.09047564573813907,0.35976301988776077
BSDS500,AGWi,MID,200,0.05301523593064001,0.14553488795978065,25.073519078356075,0.27819051791148414,0.1936349762706952,0.4938365743945088
BSDS500,AGWi,HIGH,200,0.05301523593064001,0.14553488795978065,67.81573657978593,0.5851877138979049,0.4753861304032342,0.7609460662980869
BSDS500,GWi,LOW,200,0.05301523593064001,0.14553488795978065,7.110744341857995,0.11687138803238749,0.0694592759482732,0.36820164452063925
BSDS500,GWi,MID,200,0.05301523593064001,0.14553488795978065,25.073519078356075,0.2711662501837023,0.20841492685741647,0.38798363371642114
BSDS500,GWi,HIGH,200,0.05301523593064001,0.14553488795978065,67.81573657978593,0.4891972651433045,0.37433524494353504,0.7057521185623848
BSDS500,GWC,LOW,200,0.05301523593064001,0.14553488795978065,7.110744341857995,0.11638874039723769,0.0785758408358466,0.2243543486953684
BSDS500,GWC,MID,200,0.05301523593064001,0.14553488795978065,25.073519078356075,0.23567560023012996,0.16912761396520332,0.3885688886803348
BSDS500,GWC,HIGH,200,0.05301523593064001,0.14553488795978065,67.81573657978593,0.47850942480677294,0.37456113365463967,0.6623153245892033
BSDS500,Canny,LOW,200,0.05301523593064001,0.14553488795978065,7.110744341857995,0.14294126531041074,0.09008205818671422,0.34592845553865176
BSDS500,Canny,MID,200,0.05301523593064001,0.14553488795978065,25.073519078356075,0.27990982786269825,0.19890112496738457,0.47224731388826974
BSDS500,Canny,HIGH,200,0.05301523593064001,0.14553488795978065,67.81573657978593,0.5946789604371953,0.4964981703383127,0.7412606891978378
UDED,AGWi,LOW,30,0.05301523593064001,0.14553488795978065,9.011794057609436,0.21835654944553595,0.1542885071336467,0.37341756222787104
UDED,AGWi,MID,30,0.05301523593064001,0.14553488795978065,28.427307779541845,0.4621374576968087,0.3828301036502929,0.5828891938469394
UDED,AGWi,HIGH,30,0.05301523593064001,0.14553488795978065,62.560898162848716,0.7426665523563317,0.68105108782752,0.8165398377992321
UDED,GWi,LOW,30,0.05301523593064001,0.14553488795978065,9.011794057609436,0.1385756634469455,0.09647191255319779,0.24589132459164925
UDED,GWi,MID,30,0.05301523593064001,0.14553488795978065,28.427307779541845,0.4135928417611899,0.3050452977521701,0.6420661262526329
UDED,GWi,HIGH,30,0.05301523593064001,0.14553488795978065,62.560898162848716,0.7187504144947143,0.6622254539233089,0.785825378583263
UDED,GWC,LOW,30,0.05301523593064001,0.14553488795978065,9.011794057609436,0.1487303794953308,0.10868605677647168,0.23549694208844035
UDED,GWC,MID,30,0.05301523593064001,0.14553488795978065,28.427307779541845,0.3683329280578039,0.3261840599505334,0.4229910001914853
UDED,GWC,HIGH,30,0.05301523593064001,0.14553488795978065,62.560898162848716,0.6495063483504093,0.7073254065873992,0.6004256229357832
UDED,Canny,LOW,30,0.05301523593064001,0.14553488795978065,9.011794057609436,0.21473546487856737,0.16802695939028553,0.2974102131729293
UDED,Canny,MID,30,0.05301523593064001,0.14553488795978065,28.427307779541845,0.4665680766279732,0.38103876940491593,0.6016068807046658
UDED,Canny,HIGH,30,0.05301523593064001,0.14553488795978065,62.560898162848716,0.7680455138082256,0.7205512789149794,0.8222426050733964
